# dates,infections,hospitalizations,deaths,mean_r_t
2021-06-04,23408.85371640402,7560.0,118.17882539855654,0.9088183790120506
2021-06-05,22995.254281730282,7381.0,115.21817796436257,0.9104185225991251
2021-06-06,22596.964707293966,7209.0,112.35921266132365,0.9120271911341346
2021-06-07,22213.452857249886,7043.0,109.5986249877626,0.9136434130376733
2021-06-08,21844.205725768727,6883.0,106.93321216385944,0.9152662001415306
2021-06-09,21488.728749070648,6729.0,104.35987065956657,0.9168945496934694
2021-06-10,21146.54514043733,6580.0,101.8755937311703,0.9185274464637737
2021-06-11,20817.195247667143,6437.0,99.47746897105061,0.9201638649452274
2021-06-12,20500.235932444364,6299.0,97.1626758748126,0.9218027716373715
2021-06-13,20195.23997110696,6166.0,94.92848342966255,0.9234431274054068
2021-06-14,19901.795476303716,6037.0,92.77224772750716,0.9250838899035595
2021-06-15,19619.505339029016,5914.0,90.69140960566344,0.9267240160519908
2021-06-16,19347.9866905201,5795.0,88.6834923178175,0.9283624645555796
2021-06-17,19086.870383504276,5680.0,86.74609923758433,0.9299981984523437
2021-06-18,18835.800492292605,5570.0,84.87691159674327,0.9316301876789732
2021-06-19,18594.43383122434,5463.0,83.0736862601133,0.9332574116407681
2021-06-20,18362.439490971457,5361.0,81.3342535385389,0.9348788617731294
2021-06-21,18139.49839221383,5262.0,79.65651504130221,0.9364935440816228
2021-06-22,17925.302854398222,5167.0,78.0384415690806,0.9381004815533069
2021-06-23,17719.556183085875,5075.0,76.47807104830513,0.9396987166291203
2021-06-24,17521.97227320162,4987.0,74.97350650795896,0.9412873136212002
2021-06-25,17332.275226431568,4902.0,73.52291409927311,0.9428653609922504
2021-06-26,17150.198983030652,4820.0,72.12452115877514,0.9444319735229898
2021-06-27,16975.4869674645,4742.0,70.77661431501427,0.9459862943496588
2021-06-28,16807.89174836935,4666.0,69.4775376391897,0.9475274968957504
2021-06-29,16647.174711606614,4593.0,68.22569083986446,0.949054786657617
2021-06-30,16493.105744808745,4523.0,67.01952750177388,0.9505674027851582
2021-07-01,16345.462932786753,4455.0,65.85755336864074,0.952064619435221
2021-07-02,16204.03226300616,4390.0,64.73832466985426,0.9535457468686924
2021-07-03,16068.607340563873,4328.0,63.660446490800055,0.9550101322720319
2021-07-04,15938.989111632474,4268.0,62.622571186592026,0.9564571602725963
2021-07-05,15814.985594080103,4210.0,61.623396838882286,0.9578862531135981
2021-07-06,15696.411614494913,4154.0,60.66166575536238,0.9592968704830523
2021-07-07,15583.088551403933,4101.0,59.73616301152646,0.9606885090277905
2021-07-08,15474.84408513031,4049.0,58.845715034206606,0.9620607016279676
2021-07-09,15371.511955126818,4000.0,57.98918822637136,0.9634130165412902
2021-07-10,15272.931725674289,3952.0,57.16548763264947,0.9647450565352548
2021-07-11,15178.948560639823,3907.0,56.37355564499715,0.9660564581040773
2021-07-12,15089.413007475314,3863.0,55.61237074790521,0.96734689081373
2021-07-13,15004.180790106559,3821.0,54.88094630251162,0.9686160567578962
2021-07-14,14923.112610148386,3781.0,54.17832936891863,0.9698636900711938
2021-07-15,14846.073956061078,3742.0,53.50359956599012,0.9710895564478396
2021-07-16,14772.934920192556,3705.0,52.855867967885054,0.9722934526401033
2021-07-17,14703.570023743046,3669.0,52.23427603654365,0.9734752059329127
2021-07-18,14637.858049470831,3635.0,51.63799458930261,0.9746346735940553
2021-07-19,14575.681881685889,3602.0,51.066222800705404,0.9757717422909391
2021-07-20,14516.928353013353,3571.0,50.51818723750152,0.9768863274599207
2021-07-21,14461.488097564494,3541.0,49.99314092577323,0.9779783726192552
2021-07-22,14409.255410325468,3512.0,49.490362449052526,0.9790478486261175
2021-07-23,14360.1281126006,3485.0,49.00915507625597,0.9800947528836974
2021-07-24,14314.007423251856,3458.0,48.54884591812896,0.9811191085039017
2021-07-25,14270.797835394098,3433.0,48.108785110869405,0.9821209634284274
2021-07-26,14230.40699821978,3409.0,47.68834502567573,0.9831003895100546
2021-07-27,14192.745603704769,3386.0,47.28691950306464,0.9840574815576439
2021-07-28,14157.727278004597,3365.0,46.90392311093665,0.984992356350385
2021-07-29,14125.268477349617,3344.0,46.53879042547704,0.9859051516274118
2021-07-30,14095.288388220766,3324.0,46.19097533409377,0.9867960250583471
2021-07-31,14067.708831575292,3305.0,45.859950359713366,0.9876651531993578
2021-08-01,14042.454170912471,3287.0,45.54520600584701,0.988512730439081
2021-08-02,14019.451224000883,3270.0,45.24625012191815,0.9893389679390265
2021-08-03,13998.629178106468,3254.0,44.96260728840808,0.9901440925732147
2021-08-04,13979.919508562094,3238.0,44.693818221438555,0.9909283458716002
2021-08-05,13963.255900516479,3224.0,44.43943919647343,0.99169198297136
2021-08-06,13948.574201895364,3210.0,44.19904149086483,0.9924352735868319
2021-08-07,13935.812319298115,3197.0,43.972210844991466,0.9931584987391794
2021-08-08,13924.910152433466,3185.0,43.75854694173639,0.9938619499356883
2021-08-09,13915.809530735825,3173.0,43.557662904032995,0.9945459283528975
2021-08-10,13908.454156119386,3162.0,43.369184810175085,0.99521074420265
2021-08-11,13902.789547824865,3152.0,43.192751226535485,0.9958567161024342
2021-08-12,13898.762975340742,3142.0,43.02801275728234,0.9964841698159169
2021-08-13,13896.323397161166,3133.0,42.87463161064011,0.9970934371529592
2021-08-14,13895.42140747208,3125.0,42.73228118121868,0.9976848551458092
2021-08-15,13896.009185379686,3117.0,42.60064564792701,0.9982587652764867
2021-08-16,13898.040447445892,3110.0,42.47941958698251,0.9988155128237266
2021-08-17,13901.47039695361,3103.0,42.368307599520115,0.9993554460669452
2021-08-18,13906.255673991354,3097.0,42.26702395330004,0.9998789154795602
2021-08-19,13912.354308858112,3091.0,42.17529223801726,1.000386273000724
2021-08-20,13919.725678366958,3086.0,42.092845033728324,1.0008778713840378
2021-08-21,13928.330464423017,3082.0,42.019423591930185,1.0013540636149856
2021-08-22,13938.130612876823,3077.0,41.9547775291904,1.0018152023385982
2021-08-23,13949.089292762219,3074.0,41.89866453278584,1.0022616392932229
2021-08-24,13961.17085704571,3070.0,41.850850077892254,1.0026937247792784
2021-08-25,13974.340805195396,3067.0,41.81110715593115,1.0031118071736347
2021-08-26,13988.565747483366,3065.0,41.77921601342922,1.0035162324922964
2021-08-27,14003.813370356804,3063.0,41.754963900935394,1.0039073439871355
2021-08-28,14020.05240258229,3061.0,41.738144832171216,1.004285481767934
2021-08-29,14037.25258237468,3060.0,41.72855935295615,1.0046509824523713
2021-08-30,14055.384625726016,3059.0,41.72601431941608,1.0050041788481403
2021-08-31,14074.420195992103,3058.0,41.73032268491903,1.0053453996692452
2021-09-01,14094.33187456714,3058.0,41.741303295027905,1.0056749692836753
2021-09-02,14115.093123731038,3058.0,41.75878069080716,1.0059932068653232
2021-09-03,14136.678261455105,3059.0,41.78258492014971,1.0063004263649276
2021-09-04,14159.062440278882,3059.0,41.81255135669274,1.0065969367599763
2021-09-05,14182.221619404037,3060.0,41.848520525822536,1.0068830417986894
2021-09-06,14206.132536447762,3062.0,41.89033793661227,1.007159039712793
2021-09-07,14230.772678925687,3063.0,41.93785392052379,1.0074252229078013
2021-09-08,14256.120260860833,3065.0,41.99092347654832,1.0076818778834205
2021-09-09,14282.154202421596,3067.0,42.04940612237492,1.0079292852913042
2021-09-10,14308.854107645268,3070.0,42.11316575107263,1.0081677199019718
2021-09-11,14336.200241259116,3072.0,42.18207049280448,1.008397450522663
2021-09-12,14364.173505536297,3075.0,42.25599258161918,1.008618739899318
2021-09-13,14392.755419065823,3078.0,42.334808227260766,1.0088318446718714
2021-09-14,14421.928097670996,3081.0,42.41839749173639,1.0090370154017365
2021-09-15,14451.67423561665,3085.0,42.50664417035322,1.0092344966077764
2021-09-16,14481.977086573224,3089.0,42.59943567688872,1.009424526789209
2021-09-17,14512.820444594834,3093.0,42.69666293276923,1.0096073384391124
2021-09-18,14544.188625874935,3097.0,42.79822026006263,1.0097831580699068
2021-09-19,14576.066451683162,3101.0,42.904005278090786,1.0099522062651969
2021-09-20,14608.439232023764,3106.0,43.013918803505334,1.0101146977471507
2021-09-21,14641.292749587154,3110.0,43.12786475359843,1.0102708414473003
2021-09-22,14674.613243914651,3115.0,43.245750052765686,1.0104208405767183
2021-09-23,14708.387395990121,3120.0,43.36748454209419,1.0105648926992405
2021-09-24,14742.602313485473,3126.0,43.49298089181129,1.0107031898132186
2021-09-25,14777.245516616465,3131.0,43.622154516372085,1.0108359184415037
